,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
25,2,2003,54.895909499999995,26.60790739,12.90742698,45.49515497,1.221794872,34.86208168,3.0,651.0,0.0,654.0,227.0,427.0,61.0,0.0,13.0,0.0,20.0,32.0,33.0,3.0,1.0,24.0,9.0,0.0,17.0,0.0,14.0,654.0,0.0,8.0,553.0,93.0,36.0,43.0,7.0,16.0,0.0,0.0,0.0,536.0,118.0,136.0,233.0,167.0,31.0,41.0,328.0,0.0,0.0,0.0,184.0,42.0,0.0,79.0,0.0,0.0,0.0,242372.24,18384.54,317097.55,17.25
26,3,2003,46.00891847,24.84057375,9.070624972000001,54.72399155,1.661606474,9.110720012,8.0,1446.0,1.0,1453.0,489.0,965.0,32.0,0.0,14.0,0.0,10.0,103.0,258.0,2.0,1.0,11.0,14.0,0.0,24.0,0.0,20.0,1430.0,24.0,29.0,1378.0,25.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,1206.0,248.0,547.0,343.0,316.0,21.0,203.0,435.0,0.0,0.0,0.0,573.0,150.0,0.0,156.0,0.0,0.0,0.0,468852.12000000005,32284.75,593793.91,18.39
27,4,2003,94.40349202,37.20477407,26.21695356,46.15471371,10.72195181,14.56244931,0.0,42.0,0.0,42.0,1.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0,1.0,13.0,0.0,0.0,0.0,8470.19,1205.01,20768.97,17.24
28,1,2004,80.33717949,27.95128205,14.49038462,50.32847597,1.106410256,8.266089962,0.0,46.0,0.0,46.0,16.0,30.0,1.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,29.0,5.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,17.0,29.0,8.0,7.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14306.320000000003,414.9,4366.97,10.53
29,2,2004,61.65498981,30.99764308,21.420239600000002,45.49515497,1.106410256,34.86208168,7.0,670.0,1.0,676.0,246.0,430.0,14.0,27.0,15.0,0.0,33.0,10.0,21.0,20.0,2.0,40.0,9.0,1.0,44.0,0.0,8.0,584.0,92.0,13.0,453.0,91.0,11.0,68.0,15.0,13.0,2.0,24.0,0.0,550.0,126.0,139.0,250.0,158.0,34.0,29.0,344.0,0.0,0.0,0.0,162.0,47.0,9.0,67.0,0.0,1.0,13.0,262504.94,20770.39,298096.64,14.35
30,3,2004,49.80933436,24.90980452,7.770624972,44.93640286,1.700068013,7.757371139,10.0,1425.0,4.0,1431.0,608.0,827.0,36.0,23.0,24.0,0.0,17.0,210.0,68.0,101.0,4.0,32.0,5.0,1.0,64.0,0.0,1.0,1160.0,275.0,33.0,1099.0,27.0,8.0,35.0,0.0,16.0,0.0,0.0,1.0,1250.0,185.0,314.0,472.0,463.0,77.0,267.0,590.0,0.0,0.0,0.0,407.0,187.0,6.0,129.0,0.0,0.0,46.0,401761.16,30896.72,458897.84,14.85
31,4,2004,43.11785708,39.47298528,24.015933999999998,47.17295397,6.474778405,12.65373745,0.0,45.0,0.0,45.0,8.0,37.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,8.0,30.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,11.0,0.0,6.0,0.0,0.0,0.0,8005.389999999998,2414.8814285714284,12686.67,5.253537440761659
32,1,2005,105.1910256,27.94358974,14.21346154,52.27291523,1.052564103,9.768242686,0.0,44.0,1.0,43.0,12.0,32.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,43.0,1.0,0.0,40.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,10.0,11.0,3.0,2.0,3.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,13715.6,724.95,4374.5509999999995,6.034279605490034
33,2,2005,29.63582494,33.13238293,30.66187186,45.49515497,1.052564103,34.86208168,0.0,832.0,2.0,830.0,487.0,343.0,40.0,0.0,16.0,0.0,62.0,79.0,75.0,26.0,3.0,131.0,6.0,4.0,31.0,0.0,14.0,818.0,14.0,25.0,685.0,108.0,9.0,102.0,4.0,16.0,2.0,2.0,0.0,686.0,146.0,147.0,286.0,250.0,53.0,48.0,435.0,0.0,0.0,0.0,209.0,42.0,1.0,131.0,0.0,0.0,0.0,324359.73000000004,22766.2,311444.5,13.68
34,3,2005,46.27087282,25.04826606,6.332163433,54.70563363,1.700068013,13.11342857,7.0,1291.0,0.0,1298.0,556.0,739.0,20.0,1.0,7.0,0.0,5.0,305.0,54.0,22.0,11.0,36.0,17.0,2.0,23.0,0.0,53.0,1275.0,22.0,22.0,1221.0,32.0,31.0,22.0,0.0,1.0,0.0,0.0,0.0,1184.0,114.0,172.0,679.0,332.0,33.0,246.0,726.0,0.0,0.0,0.0,325.0,42.0,0.0,104.0,0.0,0.0,0.0,362916.73,29359.36,435383.51,14.83
35,4,2005,68.40035125,37.33466432,23.2408268,47.74326823,5.202990657,13.24485757,0.0,34.0,0.0,34.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,9.0,11.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6945.56,2414.8814285714284,24166.85,10.007468571364344
36,1,2006,101.4022623,29.01529654,18.63090629,53.60738582,1.9646007509999999,14.59931436,0.0,38.0,1.0,38.0,16.0,23.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,33.0,6.0,1.0,28.0,4.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,26.0,13.0,17.0,6.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,10987.909999999998,369.0,3913.03,10.6
37,2,2006,71.93954663,32.21692458,26.75039097,45.49515497,1.9646007509999999,34.86208168,6.0,696.0,3.0,699.0,187.0,515.0,18.0,11.0,3.0,0.0,17.0,36.0,10.0,8.0,1.0,25.0,25.0,0.0,22.0,0.0,0.0,670.0,31.0,15.0,529.0,126.0,10.0,74.0,7.0,55.0,1.0,0.0,0.0,588.0,114.0,162.0,280.0,146.0,56.0,37.0,322.0,0.0,0.0,0.0,174.0,34.0,0.0,94.0,1.0,0.0,0.0,256623.36,20533.63,314275.68,15.31
38,3,2006,50.25608211,24.64826606,6.501394202,56.97691477,4.3731432439999995,13.33047793,4.0,1134.0,2.0,1134.0,650.0,488.0,2.0,86.0,2.0,0.0,5.0,439.0,25.0,2.0,0.0,36.0,10.0,0.0,36.0,0.0,0.0,1016.0,121.0,7.0,939.0,70.0,1.0,76.0,0.0,4.0,0.0,0.0,0.0,1021.0,118.0,138.0,495.0,386.0,57.0,216.0,586.0,0.0,0.0,0.0,246.0,65.0,0.0,206.0,0.0,0.0,0.0,357299.6,27818.75,414601.55,14.9
39,4,2006,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,9.0,52.0,0.0,61.0,3.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,24.0,13.0,21.0,0.0,2.0,32.0,0.0,0.0,0.0,35.0,0.0,2.0,2.0,3.0,3.0,0.0,11523.859999999995,2414.8814285714284,24166.85,10.007468571364344
40,1,2007,91.27184559,28.03589744,17.13901449,57.66094193,3.617143842,8.67378227,0.0,29.0,0.0,29.0,21.0,8.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,27.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,5.0,10.0,2.0,0.0,7.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,8192.92,384.33,5576.8,14.51
41,2,2007,53.41741515,34.26575209,27.07739118,45.49515497,3.617143842,34.86208168,3.0,844.0,0.0,847.0,347.0,498.0,24.0,0.0,5.0,0.0,45.0,8.0,109.0,1.0,1.0,123.0,7.0,1.0,20.0,0.0,0.0,836.0,9.0,25.0,672.0,139.0,38.0,103.0,9.0,8.0,0.0,5.0,0.0,657.0,190.0,138.0,392.0,127.0,61.0,34.0,424.0,0.0,0.0,0.0,159.0,21.0,0.0,84.0,0.0,0.0,1.0,282109.71,18807.39,303450.61,16.13
42,3,2007,39.08455944,30.29272191,16.53046544,53.52760646,7.8508858560000006,17.02490391,3.0,1307.0,1.0,1309.0,502.0,808.0,14.0,8.0,9.0,0.0,1.0,177.0,42.0,16.0,2.0,155.0,26.0,0.0,19.0,0.0,0.0,1305.0,5.0,17.0,1238.0,50.0,0.0,68.0,0.0,2.0,0.0,0.0,0.0,1214.0,96.0,264.0,509.0,441.0,65.0,248.0,638.0,0.0,0.0,0.0,294.0,232.0,1.0,177.0,0.0,0.0,1.0,346147.39,28675.85,437332.04,15.25
43,4,2007,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,1.0,83.0,0.0,84.0,21.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,84.0,0.0,2.0,81.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,54.0,30.0,16.0,33.0,5.0,0.0,1.0,37.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,12503.78,8987.0,2953.16,27.03
44,1,2009,56.29229523,36.42947471,31.29339104,54.25451921,23.64829411,25.68274416,0.0,25.0,0.0,25.0,10.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,22.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,3.0,13.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7570.419999999999,443.49,7361.87,16.6
45,2,2009,57.64754224,29.80279608,19.99655074,45.49515497,23.64829411,34.86208168,3.0,659.0,0.0,662.0,238.0,424.0,15.0,0.0,5.0,0.0,33.0,8.0,99.0,3.0,1.0,42.0,8.0,0.0,15.0,1.0,2.0,662.0,0.0,5.0,555.0,102.0,42.0,25.0,6.0,28.0,1.0,1.0,4.0,542.0,120.0,108.0,310.0,124.0,43.0,28.0,286.0,1.0,76.0,0.0,110.0,59.0,0.0,62.0,0.0,0.0,0.0,232403.18,20597.34,332291.79,16.13
46,3,2009,56.16830082,29.99954021,20.02959143,53.07998471,28.80958168,17.38556837,1.0,1204.0,2.0,1203.0,470.0,735.0,13.0,2.0,4.0,0.0,15.0,83.0,90.0,20.0,1.0,82.0,49.0,4.0,25.0,0.0,4.0,1191.0,14.0,22.0,1119.0,50.0,12.0,60.0,0.0,0.0,0.0,0.0,0.0,1124.0,81.0,160.0,545.0,419.0,43.0,107.0,789.0,25.0,0.0,0.0,271.0,192.0,0.0,116.0,0.0,0.0,0.0,331913.17,27075.04,468759.38,17.31
